Starting monitors...
🚀 ArgonWatch Server running on port 3000
📊 Monitoring: System, PM2, GitHub Runner
🚨 Alert Rules: 3 configured
Historical data loaded.
[SystemMonitor] Slow metrics: currentLoad: 285ms, mem: 693ms, fsSize: 698ms, networkStats: 754ms, cpuTemperature: 800ms, cpuCurrentSpeed: 285ms, fsStats: 285ms (Total: 800ms)
[SystemMonitor] Slow metrics: currentLoad: 289ms, mem: 708ms, fsSize: 711ms, networkStats: 759ms, cpuTemperature: 808ms, cpuCurrentSpeed: 289ms, fsStats: 289ms (Total: 808ms)
[SystemMonitor] Slow metrics: currentLoad: 302ms, mem: 721ms, fsSize: 740ms, networkStats: 761ms, cpuTemperature: 823ms, cpuCurrentSpeed: 302ms, fsStats: 302ms (Total: 823ms)
[SystemMonitor] Slow metrics: currentLoad: 285ms, mem: 685ms, fsSize: 686ms, networkStats: 736ms, cpuTemperature: 782ms, cpuCurrentSpeed: 285ms, fsStats: 285ms (Total: 782ms)
[SystemMonitor] Slow metrics: currentLoad: 279ms, mem: 690ms, fsSize: 696ms, networkStats: 746ms, cpuTemperature: 795ms, cpuCurrentSpeed: 279ms, fsStats: 279ms (Total: 795ms)
[SystemMonitor] Slow metrics: currentLoad: 284ms, mem: 691ms, fsSize: 696ms, networkStats: 748ms, cpuTemperature: 790ms, cpuCurrentSpeed: 284ms, fsStats: 284ms (Total: 790ms)
[SystemMonitor] Slow metrics: currentLoad: 283ms, mem: 722ms, fsSize: 714ms, networkStats: 755ms, cpuTemperature: 818ms, cpuCurrentSpeed: 283ms, fsStats: 283ms (Total: 819ms)
[SystemMonitor] Slow metrics: currentLoad: 287ms, mem: 698ms, fsSize: 698ms, networkStats: 764ms, cpuTemperature: 793ms, cpuCurrentSpeed: 287ms, fsStats: 287ms (Total: 793ms)
[SystemMonitor] Slow metrics: currentLoad: 280ms, mem: 710ms, fsSize: 702ms, networkStats: 747ms, cpuTemperature: 781ms, cpuCurrentSpeed: 280ms, fsStats: 280ms (Total: 781ms)
[SystemMonitor] Slow metrics: currentLoad: 281ms, mem: 701ms, fsSize: 701ms, networkStats: 754ms, cpuTemperature: 792ms, cpuCurrentSpeed: 281ms, fsStats: 281ms (Total: 792ms)
[SystemMonitor] Slow metrics: currentLoad: 280ms, mem: 708ms, fsSize: 699ms, networkStats: 737ms, cpuTemperature: 792ms, cpuCurrentSpeed: 280ms, fsStats: 280ms (Total: 792ms)
[SystemMonitor] Slow metrics: currentLoad: 280ms, mem: 707ms, fsSize: 691ms, networkStats: 738ms, cpuTemperature: 789ms, cpuCurrentSpeed: 280ms, fsStats: 280ms (Total: 789ms)
[SystemMonitor] Slow metrics: currentLoad: 282ms, mem: 714ms, fsSize: 704ms, networkStats: 748ms, cpuTemperature: 796ms, cpuCurrentSpeed: 281ms, fsStats: 281ms (Total: 797ms)
[SystemMonitor] Slow metrics: currentLoad: 285ms, mem: 695ms, fsSize: 697ms, networkStats: 748ms, cpuTemperature: 797ms, cpuCurrentSpeed: 285ms, fsStats: 285ms (Total: 797ms)
[SystemMonitor] Slow metrics: currentLoad: 279ms, mem: 716ms, fsSize: 708ms, networkStats: 758ms, cpuTemperature: 795ms, cpuCurrentSpeed: 279ms, fsStats: 279ms (Total: 795ms)
[SystemMonitor] Slow metrics: currentLoad: 280ms, mem: 696ms, fsSize: 701ms, networkStats: 743ms, cpuTemperature: 789ms, cpuCurrentSpeed: 280ms, fsStats: 280ms (Total: 789ms)
[SystemMonitor] Slow metrics: currentLoad: 281ms, mem: 701ms, fsSize: 698ms, networkStats: 744ms, cpuTemperature: 793ms, cpuCurrentSpeed: 281ms, fsStats: 281ms (Total: 793ms)
[SystemMonitor] Slow metrics: currentLoad: 282ms, mem: 705ms, fsSize: 700ms, networkStats: 742ms, cpuTemperature: 793ms, cpuCurrentSpeed: 282ms, fsStats: 282ms (Total: 793ms)
[SystemMonitor] Slow metrics: currentLoad: 281ms, mem: 694ms, fsSize: 692ms, networkStats: 737ms, cpuTemperature: 798ms, cpuCurrentSpeed: 281ms, fsStats: 281ms (Total: 798ms)
[SystemMonitor] Slow metrics: currentLoad: 282ms, mem: 694ms, fsSize: 699ms, networkStats: 735ms, cpuTemperature: 791ms, cpuCurrentSpeed: 282ms, fsStats: 282ms (Total: 791ms)
[SystemMonitor] Slow metrics: currentLoad: 284ms, mem: 689ms, fsSize: 699ms, networkStats: 733ms, cpuTemperature: 791ms, cpuCurrentSpeed: 284ms, fsStats: 284ms (Total: 791ms)
[SystemMonitor] Slow metrics: currentLoad: 285ms, mem: 693ms, fsSize: 690ms, networkStats: 736ms, cpuTemperature: 783ms, cpuCurrentSpeed: 285ms, fsStats: 285ms (Total: 783ms)
[SystemMonitor] Slow metrics: currentLoad: 282ms, mem: 699ms, fsSize: 690ms, networkStats: 744ms, cpuTemperature: 791ms, cpuCurrentSpeed: 282ms, fsStats: 282ms (Total: 791ms)
[SystemMonitor] Slow metrics: currentLoad: 298ms, mem: 695ms, fsSize: 716ms, networkStats: 748ms, cpuTemperature: 802ms, cpuCurrentSpeed: 298ms, fsStats: 298ms (Total: 802ms)
[SystemMonitor] Slow metrics: currentLoad: 282ms, mem: 701ms, fsSize: 696ms, networkStats: 757ms, cpuTemperature: 794ms, cpuCurrentSpeed: 282ms, fsStats: 282ms (Total: 794ms)
[SystemMonitor] Slow metrics: currentLoad: 284ms, mem: 691ms, fsSize: 694ms, networkStats: 743ms, cpuTemperature: 789ms, cpuCurrentSpeed: 284ms, fsStats: 284ms (Total: 789ms)
[SystemMonitor] Slow metrics: currentLoad: 284ms, mem: 689ms, fsSize: 694ms, networkStats: 744ms, cpuTemperature: 793ms, cpuCurrentSpeed: 284ms, fsStats: 284ms (Total: 793ms)
[SystemMonitor] Slow metrics: currentLoad: 285ms, mem: 693ms, fsSize: 691ms, networkStats: 739ms, cpuTemperature: 788ms, cpuCurrentSpeed: 285ms, fsStats: 285ms (Total: 788ms)
[SystemMonitor] Slow metrics: currentLoad: 282ms, mem: 705ms, fsSize: 720ms, networkStats: 743ms, cpuTemperature: 801ms, cpuCurrentSpeed: 282ms, fsStats: 282ms (Total: 801ms)
[SystemMonitor] Slow metrics: currentLoad: 286ms, mem: 724ms, fsSize: 716ms, networkStats: 768ms, cpuTemperature: 825ms, cpuCurrentSpeed: 286ms, fsStats: 286ms (Total: 825ms)
[SystemMonitor] Slow metrics: currentLoad: 281ms, mem: 703ms, fsSize: 714ms, networkStats: 761ms, cpuTemperature: 808ms, cpuCurrentSpeed: 281ms, fsStats: 281ms (Total: 808ms)
[SystemMonitor] Slow metrics: currentLoad: 287ms, mem: 697ms, fsSize: 706ms, networkStats: 758ms, cpuTemperature: 805ms, cpuCurrentSpeed: 287ms, fsStats: 287ms (Total: 805ms)
[SystemMonitor] Slow metrics: currentLoad: 286ms, mem: 700ms, fsSize: 697ms, networkStats: 758ms, cpuTemperature: 800ms, cpuCurrentSpeed: 286ms, fsStats: 286ms (Total: 800ms)
[SystemMonitor] Slow metrics: currentLoad: 298ms, mem: 720ms, fsSize: 722ms, networkStats: 765ms, cpuTemperature: 827ms, cpuCurrentSpeed: 298ms, fsStats: 298ms (Total: 827ms)
[SystemMonitor] Slow metrics: currentLoad: 280ms, mem: 696ms, fsSize: 693ms, networkStats: 741ms, cpuTemperature: 793ms, cpuCurrentSpeed: 280ms, fsStats: 280ms (Total: 793ms)
[SystemMonitor] Slow metrics: currentLoad: 285ms, mem: 694ms, fsSize: 697ms, networkStats: 743ms, cpuTemperature: 796ms, cpuCurrentSpeed: 284ms, fsStats: 284ms (Total: 797ms)
[SystemMonitor] Slow metrics: currentLoad: 281ms, mem: 684ms, fsSize: 689ms, networkStats: 731ms, cpuTemperature: 789ms, cpuCurrentSpeed: 281ms, fsStats: 281ms (Total: 789ms)
[SystemMonitor] Slow metrics: currentLoad: 305ms, mem: 730ms, fsSize: 717ms, networkStats: 773ms, cpuTemperature: 820ms, cpuCurrentSpeed: 305ms, fsStats: 305ms (Total: 820ms)
[SystemMonitor] Slow metrics: currentLoad: 279ms, mem: 693ms, fsSize: 698ms, networkStats: 748ms, cpuTemperature: 799ms, cpuCurrentSpeed: 279ms, fsStats: 279ms (Total: 799ms)
[SystemMonitor] Slow metrics: currentLoad: 282ms, mem: 711ms, fsSize: 690ms, networkStats: 734ms, cpuTemperature: 790ms, cpuCurrentSpeed: 282ms, fsStats: 282ms (Total: 790ms)
[SystemMonitor] Slow metrics: currentLoad: 293ms, mem: 710ms, fsSize: 709ms, networkStats: 751ms, cpuTemperature: 799ms, cpuCurrentSpeed: 292ms, fsStats: 292ms (Total: 800ms)
[SystemMonitor] Slow metrics: currentLoad: 287ms, mem: 706ms, fsSize: 697ms, networkStats: 741ms, cpuTemperature: 790ms, cpuCurrentSpeed: 287ms, fsStats: 287ms (Total: 790ms)
[SystemMonitor] Slow metrics: currentLoad: 286ms, mem: 705ms, fsSize: 708ms, networkStats: 756ms, cpuTemperature: 808ms, cpuCurrentSpeed: 286ms, fsStats: 286ms (Total: 808ms)
