Starting monitors...
🚀 ArgonWatch Server running on port 3000
📊 Monitoring: System, PM2, GitHub Runner
🚨 Alert Rules: 3 configured
Historical data loaded.
[SystemMonitor] Slow metrics: currentLoad: 284ms, mem: 716ms, fsSize: 723ms, networkStats: 771ms, cpuTemperature: 834ms, cpuCurrentSpeed: 284ms, fsStats: 284ms (Total: 834ms)
[SystemMonitor] Slow metrics: currentLoad: 292ms, mem: 739ms, fsSize: 758ms, networkStats: 801ms, cpuTemperature: 861ms, cpuCurrentSpeed: 292ms, fsStats: 292ms (Total: 861ms)
[SystemMonitor] Slow metrics: currentLoad: 297ms, mem: 744ms, fsSize: 751ms, networkStats: 804ms, cpuTemperature: 867ms, cpuCurrentSpeed: 297ms, fsStats: 297ms (Total: 867ms)
[SystemMonitor] Slow metrics: currentLoad: 291ms, mem: 748ms, fsSize: 733ms, networkStats: 807ms, cpuTemperature: 857ms, cpuCurrentSpeed: 290ms, fsStats: 290ms (Total: 858ms)
[SystemMonitor] Slow metrics: currentLoad: 290ms, mem: 789ms, fsSize: 716ms, networkStats: 856ms, cpuTemperature: 873ms, cpuCurrentSpeed: 290ms, fsStats: 290ms (Total: 873ms)
[SystemMonitor] Slow metrics: currentLoad: 288ms, mem: 725ms, fsSize: 729ms, networkStats: 785ms, cpuTemperature: 826ms, cpuCurrentSpeed: 288ms, fsStats: 288ms (Total: 826ms)
[SystemMonitor] Slow metrics: currentLoad: 291ms, mem: 714ms, fsSize: 722ms, networkStats: 784ms, cpuTemperature: 827ms, cpuCurrentSpeed: 291ms, fsStats: 291ms (Total: 827ms)
[SystemMonitor] Slow metrics: currentLoad: 290ms, mem: 719ms, fsSize: 716ms, networkStats: 763ms, cpuTemperature: 815ms, cpuCurrentSpeed: 290ms, fsStats: 290ms (Total: 815ms)
[SystemMonitor] Slow metrics: currentLoad: 303ms, mem: 732ms, fsSize: 739ms, networkStats: 785ms, cpuTemperature: 839ms, cpuCurrentSpeed: 302ms, fsStats: 302ms (Total: 840ms)
[SystemMonitor] Slow metrics: currentLoad: 297ms, mem: 728ms, fsSize: 720ms, networkStats: 779ms, cpuTemperature: 820ms, cpuCurrentSpeed: 297ms, fsStats: 297ms (Total: 820ms)
[SystemMonitor] Slow metrics: currentLoad: 294ms, mem: 732ms, fsSize: 727ms, networkStats: 795ms, cpuTemperature: 824ms, cpuCurrentSpeed: 294ms, fsStats: 294ms (Total: 824ms)
[SystemMonitor] Slow metrics: currentLoad: 289ms, mem: 716ms, fsSize: 727ms, networkStats: 768ms, cpuTemperature: 822ms, cpuCurrentSpeed: 289ms, fsStats: 289ms (Total: 822ms)
[SystemMonitor] Slow metrics: currentLoad: 294ms, mem: 732ms, fsSize: 744ms, networkStats: 793ms, cpuTemperature: 839ms, cpuCurrentSpeed: 294ms, fsStats: 294ms (Total: 839ms)
[SystemMonitor] Slow metrics: currentLoad: 290ms, mem: 717ms, fsSize: 724ms, networkStats: 761ms, cpuTemperature: 823ms, cpuCurrentSpeed: 290ms, fsStats: 290ms (Total: 823ms)
[SystemMonitor] Slow metrics: currentLoad: 291ms, mem: 715ms, fsSize: 721ms, networkStats: 765ms, cpuTemperature: 823ms, cpuCurrentSpeed: 291ms, fsStats: 291ms (Total: 823ms)
[SystemMonitor] Slow metrics: currentLoad: 292ms, mem: 711ms, fsSize: 719ms, networkStats: 787ms, cpuTemperature: 823ms, cpuCurrentSpeed: 292ms, fsStats: 292ms (Total: 823ms)
[SystemMonitor] Slow metrics: currentLoad: 291ms, mem: 734ms, fsSize: 727ms, networkStats: 782ms, cpuTemperature: 837ms, cpuCurrentSpeed: 291ms, fsStats: 291ms (Total: 837ms)
[SystemMonitor] Slow metrics: currentLoad: 290ms, mem: 731ms, fsSize: 723ms, networkStats: 779ms, cpuTemperature: 842ms, cpuCurrentSpeed: 289ms, fsStats: 289ms (Total: 843ms)
[SystemMonitor] Slow metrics: currentLoad: 288ms, mem: 721ms, fsSize: 718ms, networkStats: 762ms, cpuTemperature: 821ms, cpuCurrentSpeed: 288ms, fsStats: 288ms (Total: 821ms)
[SystemMonitor] Slow metrics: currentLoad: 296ms, mem: 717ms, fsSize: 729ms, networkStats: 786ms, cpuTemperature: 839ms, cpuCurrentSpeed: 296ms, fsStats: 296ms (Total: 839ms)
[SystemMonitor] Slow metrics: currentLoad: 290ms, mem: 737ms, fsSize: 737ms, networkStats: 810ms, cpuTemperature: 847ms, cpuCurrentSpeed: 290ms, fsStats: 290ms (Total: 847ms)
[SystemMonitor] Slow metrics: currentLoad: 295ms, mem: 738ms, fsSize: 730ms, networkStats: 780ms, cpuTemperature: 831ms, cpuCurrentSpeed: 295ms, fsStats: 295ms (Total: 831ms)
[SystemMonitor] Slow metrics: currentLoad: 293ms, mem: 734ms, fsSize: 737ms, networkStats: 773ms, cpuTemperature: 843ms, cpuCurrentSpeed: 293ms, fsStats: 293ms (Total: 843ms)
